3,3,6
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#E61E1EFF,#00000000
#00000000,#00000000,#00000000

#00000000,#E61E1EFF,#00000000
#00000000,#E61E1EFF,#00000000
#00000000,#E61E1EFF,#00000000
#00000000,#E61E1EFF,#00000000
#E61E1EFF,#C00CFFFF,#E61E1EFF
#00000000,#000E00FF,#00000000

#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#E61E1EFF,#00000000
#00000000,#00000000,#00000000

