3,3,6
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#E61E1EFFL,#00000000
#00000000,#00000000,#00000000

#00000000,#E61E1EFFL,#00000000
#00000000,#E61E1EFFL,#00000000
#00000000,#E61E1EFFL,#00000000
#00000000,#E61E1EFFL,#00000000
#E61E1EFFL,#E61E1EFFL,#E61E1EFFL
#00000000,#0000FFFFL,#00000000

#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#00000000,#00000000
#00000000,#E61E1EFFL,#00000000
#00000000,#00000000,#00000000

